record started at: 10-08-19 04:43:02

file format version: 4
captureMode: Offline
eye resolution: 320x240 
scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
 
3745 3745 29.96 0:00:02:05.03/600 0:00:02:04.583/600 320.55 303.19 186.66 122.70 -1000.00 -1000.00 39.00 40.00 
3746 3746 29.96 0:00:02:05.23/600 0:00:02:05.03/600 318.04 313.94 187.71 125.33 -1000.00 -1000.00 27.00 41.00 
3747 3747 29.96 0:00:02:05.43/600 0:00:02:05.23/600 315.26 324.05 188.81 127.80 -1000.00 -1000.00 27.00 40.00 
3748 3748 29.96 0:00:02:05.63/600 0:00:02:05.43/600 313.13 334.11 189.74 130.28 -1000.00 -1000.00 28.00 40.00 
3749 3749 29.96 0:00:02:05.83/600 0:00:02:05.63/600 313.80 338.23 189.69 131.30 -1000.00 -1000.00 30.00 40.00 
3750 3750 29.96 0:00:02:05.103/600 0:00:02:05.83/600 314.27 337.68 189.54 131.17 -1000.00 -1000.00 28.00 40.00 
3751 3751 29.96 0:00:02:05.123/600 0:00:02:05.103/600 314.91 337.47 189.35 131.12 -1000.00 -1000.00 29.00 40.00 
3752 3752 29.96 0:00:02:05.143/600 0:00:02:05.123/600 314.99 337.51 189.33 131.13 -1000.00 -1000.00 27.00 40.00 
3753 3753 29.96 0:00:02:05.163/600 0:00:02:05.143/600 314.96 337.72 189.34 131.18 -1000.00 -1000.00 26.00 40.00 
3754 3754 29.96 0:00:02:05.183/600 0:00:02:05.163/600 316.43 338.64 188.96 131.42 -1000.00 -1000.00 27.00 40.00 
3755 3755 29.96 0:00:02:05.203/600 0:00:02:05.183/600 318.07 339.89 188.54 131.74 -1000.00 -1000.00 28.00 40.00 
3756 3756 29.96 0:00:02:05.223/600 0:00:02:05.203/600 319.66 341.58 188.15 132.17 -1000.00 -1000.00 27.00 40.00 
3757 3757 29.96 0:00:02:05.243/600 0:00:02:05.223/600 320.84 343.47 187.88 132.65 -1000.00 -1000.00 26.00 40.00 
3758 3758 29.96 0:00:02:05.263/600 0:00:02:05.243/600 317.91 329.98 188.26 129.28 -1000.00 -1000.00 38.00 36.00 
3759 3759 29.96 0:00:02:05.283/600 0:00:02:05.263/600 313.85 312.71 188.84 125.00 -1000.00 -1000.00 38.00 38.00 
3760 3760 29.96 0:00:02:05.304/600 0:00:02:05.283/600 310.17 294.20 189.26 120.44 -1000.00 -1000.00 39.00 39.00 
3761 3761 29.96 0:00:02:05.324/600 0:00:02:05.304/600 306.18 273.50 189.70 115.38 -1000.00 -1000.00 38.00 37.00 
3762 3762 29.96 0:00:02:05.344/600 0:00:02:05.324/600 306.24 266.86 189.47 113.77 -1000.00 -1000.00 38.00 38.00 
3763 3763 29.96 0:00:02:05.364/600 0:00:02:05.344/600 307.69 263.22 188.95 112.90 -1000.00 -1000.00 39.00 38.00 
3764 3764 29.96 0:00:02:05.384/600 0:00:02:05.364/600 308.71 261.07 188.60 112.38 -1000.00 -1000.00 39.00 39.00 
3765 3765 29.96 0:00:02:05.404/600 0:00:02:05.384/600 309.93 262.12 188.29 112.64 -1000.00 -1000.00 39.00 38.00 
3766 3766 29.96 0:00:02:05.424/600 0:00:02:05.404/600 310.35 265.11 188.27 113.36 -1000.00 -1000.00 39.00 38.00 
3767 3767 29.96 0:00:02:05.444/600 0:00:02:05.424/600 310.24 268.38 188.41 114.16 -1000.00 -1000.00 39.00 38.00 
